Byte Offset	Bytes	Bits	Mode	Description	Modified
7F00BC	01	FF	All	PC1 lost Armor on Blackbird	2008.02.14
7F00BD	01	FF	All	PC1 lost Weapon on Blackbird	2008.02.14
7F00BE	01	FF	All	PC1 lost Accessory on Blackbird	2008.02.14
7F00BF	01	FF	All	PC2 lost Helmet on Blackbird	2008.02.14
7F00C0	01	FF	All	PC2 lost Armor on Blackbird	2008.02.14
7F00C1	01	FF	All	PC2 lost Weapon on Blackbird	2008.02.14
7F00C2	01	FF	All	PC2 lost Accessory on Blackbird	2008.02.14
7F00C3	01	FF	All	PC3 lost Helmet on Blackbird	2008.02.14
7F00C4	01	FF	All	PC3 lost Armor on Blackbird	2008.02.14
7F00C5	01	FF	All	PC3 lost Weapon on Blackbird	2008.02.14
7F00C6	01	FF	All	PC3 lost Accessory on Blackbird	2008.02.14
7F00C7	01	FF	All	PC1 character index on Blackbird	2008.02.14
7F00C8	01	FF	All	PC2 character index on Blackbird	2008.02.14
7F00C9	01	FF	All	PC3 character index on Blackbird	2008.02.14
7F00CA	02	FF	All	"Gold lost (7E2C53, 7E2C54) on Blackbird"	2008.02.14
7F00DC	01	FF	All	Gold lost (7E2C55) on Blackbird	2008.02.14
7F00E1	1	02	All	Met Spekkio	2007.01.11
7F00E1	1	04	All	Beat Spekkio E0	2007.01.11
7F00E1	1	08	All	Beat Spekkio E1	2007.01.11
7F00E1	1	10	All	Beat Spekkio E2	2007.01.11
7F00E1	1	20	All	Beat Spekkio E3	2007.01.11
7F00E1	1	40	All	Beat Spekkio E4	2007.01.11
7F00E1	1	80	All	Beat Spekkio E5	2007.01.11
7F00E2	1	01	All	Spekkio has met Robo	2007.01.11
7F00E2	1	02	All	Spekkio has met Ayla	2007.01.11
7F00E2	1	04	All	Spekkio has met Magus	2007.01.11
7F00F7	1	02	All	Told sapling woman to plant the tree	2007.01.11
7F00FE	1	02	All	Naga-ette Bromide obtained	2007.06.12
7F0130	02	FF	All	Jet Bike Race 1st High Score	2008.02.14
7F0132	02	FF	All	Jet Bike Race 2nd High Score	2008.02.14
7F0134	02	FF	All	Jet Bike Race 3rd High Score	2008.02.14
7F0136	01	01	All	Talked to Rx-xR the Log Keeper	2008.02.14
7F0136	01	02	All	Received Power tab from breaking 1500 or 2000 points in Jet Bike Race	2008.02.14
7F0136	01	80	All	Jet Bike Race Mode 2 without boost (Mode7 Scene 09)	2008.02.14
7F013A	1	01	All	Fought Son of Sun	2007.01.11
7F0140	1	01	All	Mom mentioned Lucca dropping by	2007.01.11
7F0140	1	02	All	Mom gave Crono allowance	2007.01.11
7F0140	1	04	All	Mom has met Marle	2007.01.11
7F0140	1	08	All	Mom has met Lucca	2007.01.11
7F0140	1	10	All	Mom has met Robo	2007.01.11
7F0140	1	20	All	Mom has met Frog	2007.01.11
7F0140	1	40	All	Mom has met Ayla	2007.01.11
7F0140	1	80	All	Mom has met Magus	2007.01.11
7F0142	1	01	All	Crono's Mom has seen Crono after his trial	2008.01.29
7F0142	1	04	All	Talked to NPC demonstrating save points	2008.01.29
7F0142	1	10	All	Talked to Fritz after saving him from Prison	2008.01.29
7F0142	1	40	All	Crono's curtains are open	2008.01.29
7F0142	1	AA	All	Unused	2008.01.29
7F014A	1	08	All	Power Tab in long Geno Dome hallway	2007.01.11
7F014A	01	20	All	Truce Inn 1000 AD Sealed Chest - Blue Vest or Blue Mail (if 0x40 set) obtained	2008.02.14
7F014A	01	40	All	Truce Inn 600 AD Sealed Chest activated but not opened	2008.02.14
7F014A	01	80	All	Truce Inn 600 AD Sealed Chest - Blue Vest obtained	2008.02.14
7F014E	1	08	All	Mother speaks to PCs in long Geno Dome hallway	2007.01.11
7F014F	1	01	All	Crono's Mom gave permission to take Clone	2008.01.29
7F014F	1	02	All	Crono's Mom is still upstairs after giving permission	2008.01.29
7F014F	1	FC	All	Unused	2008.01.29
7F015C	01	07	All	"Counter used with 10F Special Purpose Area for Reptite Ending scenes, range: 00-07"	2008.02.14
7F0166	01	FF	All	"Resting at Truce Inn 600AD, 1000AD or Crono's House, used in 10F Special Purpose Area for Event Command E2 (Location)"	2008.07.17
7F0168	01	FF	All	"Resting at Truce Inn 600AD, 1000AD or Crono's House, used in 10F Special Purpose Area for Event Command E2 (Location)"	2008.07.17
7F016A	01	FF	All	"Resting at Truce Inn 600AD, 1000AD or Crono's House, used in 10F Special Purpose Area for Event Command E2 (Location)"	2008.07.17
7F016C	01	FF	All	"Resting at Truce Inn 600AD, 1000AD or Crono's House, used in 10F Special Purpose Area for Event Command E2 (Location)"	2008.07.17
7F0190	1	01	All	Brought to Prison	2007.01.11
7F0198	1	02	All	Mid Tonics on Prison Supervisor	2007.01.11
7F0198	1	20	All	Defeated Guards in Prison Supervisor's Office	2007.01.11
7F01A2	1	10	All	Fought Medina Merchant	2007.01.11
7F01A8	01	80	All	"Defeated Mammon M., and allows New G"	2008.07.30
7F01CF	01	10	All	New Game+ right telepod active to warp to Lavos	2008.02.14
7F01CF	1	80	All	Saving available	2007.01.11
7F01D1	01	20	All	Guardia Forest dead end 1000 AD Sealed Chest - Power Ring obtained	2008.02.14
7F01D2	1	04	All	Gave Jerky away	2007.01.11
7F01D2	01	80	All	Guardia Forest 600 AD Sealed Chest - Speed Tab obtained	2008.02.14
7F01D3	01	04	All	Guardia Forest 1000 AD Power Tab found	2008.02.14
7F01D3	01	08	All	Guardia Forest 600 AD Power Tab found	2008.02.14
7F01DF	01	01	All	Character lock - Unused	2008.02.14
7F01DF	01	02	All	Character lock - Magus	2008.02.14
7F01DF	01	04	All	Character lock - Ayla	2008.02.14
7F01DF	01	08	All	Character lock - Frog	2008.02.14
7F01DF	01	10	All	Character lock - Robo	2008.02.14
7F01DF	01	20	All	Character lock - Lucca	2008.02.14
7F01DF	01	40	All	Character lock - Marle	2008.02.14
7F01DF	01	80	All	Character lock - Crono	2008.02.14
7F01E0	1	01	All	Spekkio has given Crono magic	2007.01.11
7F01E0	1	02	All	Spekkio has given Marle magic	2007.01.11
7F01E0	1	04	All	Spekkio has given Lucca magic	2007.01.11
7F01E0	1	08	All	Spekkio has given Robo magic	2007.01.11
7F01E0	1	10	All	Spekkio has given Frog magic	2007.01.11
7F01E0	1	20	All	Spekkio has given Ayla magic	2007.01.11
7F01E0	1	40	All	Spekkio has given Magus magic	2007.01.11
7F01EC	1	FF	All	"Status of last battle fought 00 - You won/ran away, 01 - defeated"	2007.01.11
7F01ED	1	FF	All	"Keep Current Song flag - 00 off, 01 on"	2007.01.11
7F01EE	01	FF	All	"Unknown, loaded and stored after battle ends  In Location 1DF Tesseract, bits 0x01, 0x08, 0x10 checked in Object 00 Activate"	2008.07.17
7F01F0	10	FF	All	Overworld storyline flags (copied to 7E1BA7-7E1BB6 when loading an overworld)	2007.08.16
7F0200	1	FF	Location	Index for Item text control code	2007.01.11
7F0400	1900	FF	Overworld	Event Data	2007.01.11
7F0A80	1	FF	Location	Event result byte	2007.01.11
7F0B00	80	00FF	Location	Unknown	2007.08.15
7F0B00	80	FF00	Location	Object animation loops left (Event Command B7)	2007.08.15
7F1CE8	01	FF	Location	Location Event Command FE Draw Geometry parameter 1	2008.02.14
7F2000	1700	FF	Location	Event Data	2007.06.29
7F5080	0400	FF	Location	"Decompressed ASCII credits text font, loaded by Event Command 29"	2008.02.14
7F8000	8000	FF	Location	Decompressed NPC and enemy graphics	2007.06.29
